CODIGOAPOYO;PINTADOAPOYO;X;Y;CODIGOGEOGRAFICO
18743;1228048;1105318;1280182;67
21222;1313045;1105525;1280210;67
21225;1313053;1105526;1280230;67
21226;1313070;1105505;1280248;67
21227;1313088;1105483;1280258;67
21228;1313096;1105557;1280207;67
21229;1313100;1105560;1280173;67
21230;1313118;1105560;1280170;67
21231;1313126;1105564;1280142;67
21232;1204149;1105708;1280350;67
21233;1204157;1105679;1280354;67
21234;1313134;1105569;1280198;67
21235;1313142;1105605;1280181;67
21238;1313151;1105617;1280167;67
21239;1313177;1105641;1280160;67
21240;1204190;1105646;1280352;67
21241;1204203;1105686;1280345;67
23538;1162250;1105659;1280200;67
23539;1162276;1105658;1280203;67
23540;1162284;1105672;1280202;67
23552;1162292;1105646;1280164;67
18280;1203428;1105521;1280348;67
18297;1248936;1105413;1280435;67
18299;1248944;1105415;1280433;67
18300;1248952;1105397;1280432;67
18301;1203452;1105599;1280320;67
18302;1203479;1105607;1280332;67
18303;1203487;1105599;1280356;67
19923;1203983;1105815;1280331;67
19506;1203517;1105642;1280281;67
19508;1203525;1105629;1280301;67
19513;1203533;1105626;1280304;67
19514;1203541;1105629;1280308;67
19517;1203550;1105609;1280235;67
21360;1309285;1105246;1280154;67
21361;1309293;1105250;1280156;67
21362;1309307;1105261;1280171;67
21363;1313321;1105473;1280118;67
21364;1313339;1105440;1280106;67
21365;1313347;1105412;1280104;67
21366;1313355;1105481;1280141;67
21367;1313371;1105486;1280143;67
21368;1313380;1105509;1280120;67
21369;1313398;1105485;1280102;67
21374;1313436;1105473;1280099;67
21373;1313428;1105507;1280044;67
21375;1313444;1105474;1280115;67
21376;1313452;1105485;1280092;67
21377;1313479;1105484;1280076;67
21383;1313495;1105462;1280216;67
21384;1313509;1105474;1280162;67
21386;1313517;1105464;1280238;67
21387;1313525;1105456;1280258;67
21388;1313533;1105472;1280266;67
23554;1162403;1105645;1280161;67
23555;1162306;1105611;1280184;67
23556;1162411;1105610;1280185;67
23557;1162314;1105571;1280214;67
23558;1162420;1105572;1280218;67
23559;1162438;1105701;1280145;67
23560;1162446;1105684;1280136;67
23563;1162381;1105712;1280123;67
23564;1162471;1105735;1280103;67
23565;1162373;1105737;1280101;67
23566;1162489;1105794;1280060;67
23567;1162349;1105798;1280059;67
23568;1162357;1105830;1280043;67
23569;1162331;1105826;1280043;67
20060;1204106;1105720;1280377;67
20061;1204114;1105713;1280422;67
20062;1204122;1105717;1280379;67
20063;1204131;1105709;1280390;67
19644;1228412;1105388;1280296;67
19645;1228421;1105400;1280283;67
19646;1312189;1105183;1280543;67
19647;1312197;1105151;1280533;67
19648;1312308;1105150;1280539;67
18614;1203509;1105666;1280331;67
18628;1203118;1105547;1280286;67
18631;1203126;1105551;1280272;67
18632;1203134;1105561;1280240;67
18633;1249193;1105349;1280477;67
18634;1203142;1105544;1280288;67
22422;1273400;1105715;1280539;67
22426;1273418;1105718;1280537;67
22429;1273426;1105714;1280553;67
22431;1273434;1105701;1280548;67
22443;1273817;1105792;1280363;67
21389;1161733;1105302;1280077;67
21392;1161776;1105291;1280118;67
21393;1161784;1105294;1280128;67
21396;1329201;1105275;1279975;67
18570;1249134;1105335;1280428;67
18581;1203592;1105583;1280231;67
18583;1203606;1105591;1280241;67
